sexo;comprimento;diametro;altura;peso total;peso carne;peso visceras;peso concha;aneis
M;0,5;0,41;0,15;2,17;0,28;0,14;0,22;11
I;0,36;0,28;0,1;1,74;0,08;0,04;0,09;7
I;0,39;0,31;0,1;17,38;0,09;0,06;0,09;14
M;0,39;0,3;0,09;21,28;0,14;0,06;0,09;9
M;0,5;0,42;0,17;25,09;0,25;0,14;0,25;13
I;0,36;0,28;0,11;2,26;0,1;0,05;0,09;10
I;0,34;0,26;0,1;1,17;0,08;0,06;0,07;8
F;0,51;0,43;0,14;1,15;0,28;0,16;0,29;19
I;0,4;0,3;0,1;1,26;0,13;0,03;0,09;10
F;0,41;0,33;0,11;1,2;0,16;0,08;0,12;10
F;0,56;0,46;0,19;1,29;0,28;0,13;0,28;9
M;0,57;0,44;0,19;11,01;0,33;0,14;0,39;13
M;0,57;0,46;0,19;1,05;0,35;0,16;0,38;16
M;0,61;0,5;0,18;1,01;0,48;0,23;0,38;12
F;0,57;0,46;0,15;10,73;0,37;0,16;0,26;18
M;0,73;0,57;0,22;14,11;0,7;0,47;0,58;16
F;0,68;0,54;0,16;1,14;0,59;0,32;0,42;16
F;0,67;0,56;0,2;11,01;0,58;0,35;0,36;17
F;0,57;0,49;0,16;11,11;0,41;0,22;0,26;11
F;0,65;0,55;0,18;11,32;0,57;0,3;0,33;14
M;0,58;0,47;0,14;1,27;0,35;0,17;0,24;11
F;0,64;0,54;0,18;1,34;0,51;0,26;0,39;15
I;0,36;0,28;0,11;11,35;0,07;0,05;0,08;9
I;0,42;0,31;0,11;1,31;0,12;0,06;0,1;10
F;0,53;0,41;0,14;15,34;0,29;0,15;0,24;11
M;0,38;0,29;0,1;1,55;0,12;0,06;0,08;11
F;0,59;0,47;0,17;1,54;0,39;0,22;0,27;12
I;0,24;0,19;0,07;1,32;0,03;0,02;0,03;6
I;0,22;0,17;0,06;15,25;0,02;0,01;0,02;5
I;0,26;0,2;0,07;1,47;0,03;0,02;0,03;6
I;0,18;0,13;0,05;13,83;0,01;0;0,01;5
F;0,67;0,55;0,19;1,18;0,54;0,3;0,4;12
M;0,66;0,53;0,2;15,56;0,57;0,27;0,41;13
F;0,68;0,55;0,21;17,84;0,6;0,31;0,63;17
M;0,68;0,56;0,2;1,37;0,55;0,27;0,47;21
F;0,53;0,44;0,14;1,39;0,31;0,17;0,22;9
F;0,52;0,41;0,12;17,03;0,29;0,14;0,18;10
I;0,43;0,34;0,12;15,27;0,15;0,06;0,1;9
F;0,52;0,41;0,12;1,52;0,26;0,14;0,18;11
F;0,55;0,42;0,16;1,74;0,27;0,15;0,28;10
M;0,53;0,42;0,18;16,12;0,26;0,14;0,26;17
F;0,47;0,35;0,12;17,83;0,16;0,09;0,13;9
M;0,67;0,54;0,18;1,68;0,5;0,25;0,42;17
M;0,74;0,59;0,23;1,86;0,64;0,34;0,58;21
M;0,66;0,55;0,19;1,68;0,53;0,26;0,46;16
F;0,7;0,59;0,19;21,06;0,71;0,32;0,48;29
M;0,58;0,4;0,16;18,73;0,36;0,24;0,3;17
M;0,57;0,47;0,13;1,89;0,38;0,18;0,24;15
F;0,58;0,46;0,15;1,12;0,43;0,21;0,26;19
M;0,63;0,48;0,15;10,31;0,42;0,24;0,31;12
F;0,59;0,47;0,14;10,34;0,38;0,16;0,32;13
M;0,55;0,45;0,13;1,21;0,38;0,24;0,29;11
F;0,63;0,52;0,15;1,02;0,52;0,31;0,36;15
M;0,54;0,42;0,14;10,65;0,35;0,18;0,24;11
F;0,57;0,46;0,17;1,06;0,44;0,22;0,29;14
M;0,59;0,46;0,15;1,19;0,48;0,19;0,29;14
M;0,58;0,46;0,13;1,43;0,36;0,18;0,29;13
F;0,66;0,51;0,16;10,73;0,53;0,29;0,41;11
M;0,66;0,53;0,18;12,41;0,49;0,26;0,42;15
M;0,63;0,5;0,2;1,02;0,59;0,22;0,37;17
F;0,63;0,5;0,15;11,16;0,34;0,22;0,31;15
F;0,64;0,52;0,18;11,19;0,42;0,26;0,48;12
F;0,61;0,49;0,17;12,8;0,44;0,21;0,3;19
F;0,62;0,53;0,16;10,18;0,43;0,23;0,35;11
M;0,56;0,45;0,18;1,22;0,33;0,2;0,31;10
F;0,58;0,44;0,18;1,15;0,37;0,16;0,25;12
F;0,62;0,52;0,23;13,26;0,38;0,27;0,4;23
F;0,62;0,47;0,23;1,22;0,38;0,21;0,36;15
F;0,6;0,51;0,19;1,14;0,44;0,26;0,36;13
F;0,63;0,49;0,19;1,07;0,44;0,23;0,42;17
M;0,6;0,47;0,18;12,22;0,49;0,25;0,32;15
M;0,56;0,46;0,24;1,27;0,33;0,16;0,31;12
M;0,59;0,46;0,23;10,41;0,38;0,22;0,37;15
M;0,56;0,44;0,18;11,17;0,36;0,2;0,25;11
I;0,56;0,45;0,16;10,85;0,3;0,21;0,28;16
I;0,68;0,53;0,19;10,99;0,44;0,25;0,34;10
F;0,46;0,35;0,14;11,96;0,22;0,13;0,14;10
F;0,49;0,38;0,15;1,36;0,25;0,18;0,21;10
M;0,31;0,22;0,09;1,04;0,06;0,04;0,05;6
F;0,28;0,2;0,07;10,92;0,03;0,02;0,03;5
M;0,27;0,2;0,08;11,97;0,04;0,02;0,03;6
M;0,4;0,29;0,12;11,75;0,11;0,06;0,08;9
M;0,28;0,2;0,08;1,23;0,03;0,02;0,03;5
M;0,33;0,23;0,09;12,7;0,06;0,03;0,05;4
F;0,35;0,25;0,09;1,49;0,08;0,06;0,06;6
M;0,21;0,15;0,05;14,35;0,02;0,01;0,01;3
F;0,36;0,27;0,09;12,44;0,08;0,04;0,06;5
I;0,37;0,26;0,12;12,62;0,09;0,04;0,07;9
M;0,2;0,14;0,06;12,24;0,01;0,01;0,01;5
M;0,24;0,16;0,06;1,25;0,03;0,01;0,02;4
M;0,18;0,13;0,04;1,71;0,01;0,01;0,01;4
M;0,16;0,11;0,04;11,61;0,01;0;0,01;3
F;0,57;0,45;0,16;1,29;0,28;0,16;0,24;14
F;0,57;0,45;0,16;15,6;0,4;0,26;0,26;12
M;0,39;0,3;0,1;14,75;0,09;0,06;0,09;9
I;0,53;0,42;0,19;1,23;0,3;0,16;0,21;20
F;0,46;0,36;0,13;12,42;0,19;0,11;0,13;13
I;0,47;0,37;0,12;13,38;0,18;0,11;0,16;12
F;0,44;0,34;0,11;1,36;0,17;0,09;0,11;9
I;0,47;0,37;0,14;12,22;0,21;0,12;0,15;10
I;0,47;0,38;0,13;1,37;0,19;0,08;0,16;11
I;0,52;0,41;0,14;1,34;0,2;0,15;0,18;11
M;0,29;0,23;0,08;1,27;0,04;0,03;0,04;7
M;0,28;0,21;0,07;1,49;0,03;0,02;0,03;5
F;0,38;0,29;0,12;13,84;0,09;0,07;0,09;10
F;0,5;0,38;0,14;1,27;0,24;0,14;0,18;15
F;0,44;0,36;0,12;1,04;0,16;0,09;0,13;11
M;0,42;0,33;0,12;13,49;0,1;0,06;0,11;15
M;0,45;0,35;0,12;14,41;0,16;0,07;0,12;8
F;0,38;0,29;0,11;13,2;0,1;0,05;0,09;10
M;0,32;0,25;0,08;15,18;0,06;0,04;0,05;11
M;0,26;0,2;0,07;15,51;0,03;0,02;0,03;8
M;0,21;0,16;0,05;16,38;0,02;0,01;0,02;7
F;0,57;0,45;0,16;1,44;0,36;0,16;0,23;12
I;0,56;0,43;0,18;1,29;0,37;0,2;0,26;11
I;0,65;0,52;0,16;12,92;0,5;0,2;0,33;17
I;0,62;0,49;0,16;13,73;0,41;0,2;0,35;13
I;0,56;0,44;0,17;12,98;0,34;0,17;0,25;12
I;0,48;0,37;0,12;12,59;0,21;0,13;0,16;13
I;0,49;0,39;0,13;1,57;0,29;0,14;0,12;9
I;0,5;0,39;0,15;1,62;0,26;0,17;0,16;10
I;0,53;0,41;0,15;12,84;0,31;0,21;0,26;14
F;0,66;0,5;0,17;1,38;0,46;0,3;0,37;12
F;0,66;0,53;0,17;14,54;0,52;0,26;0,44;13
I;0,52;0,4;0,15;16,08;0,27;0,11;0,22;13
F;0,44;0,34;0,11;13,74;0,15;0,08;0,12;8
I;0,52;0,4;0,12;1,64;0,27;0,18;0,17;13
F;0,48;0,35;0,12;1,57;0,17;0,09;0,16;11
F;0,55;0,42;0,15;18,57;0,28;0,16;0,22;11
F;0,47;0,36;0,13;1,77;0,2;0,13;0,19;14
M;0,35;0,26;0,07;2,01;0,07;0,04;0,06;10
I;0,49;0,36;0,13;19,81;0,25;0,13;0,17;12
I;0,44;0,33;0,13;15,81;0,17;0,11;0,1;12
M;0,28;0,21;0,08;2,02;0,04;0,03;0,03;7
F;0,41;0,32;0,12;18,28;0,17;0,1;0,1;11
I;0,45;0,35;0,14;2,13;0,21;0,11;0,13;16
I;0,45;0,35;0,14;1,45;0,2;0,09;0,12;14
F;0,59;0,46;0,16;21,43;0,38;0,23;0,42;20
F;0,57;0,44;0,14;19,43;0,38;0,2;0,31;17
I;0,61;0,48;0,15;1,75;0,41;0,2;0,35;10
F;0,61;0,48;0,14;2,12;0,53;0,24;0,35;11
I;0,56;0,43;0,14;1,94;0,4;0,2;0,26;10
F;0,59;0,44;0,18;22,21;0,41;0,25;0,27;10
I;0,58;0,45;0,15;25,16;0,38;0,21;0,26;11
F;0,63;0,48;0,18;27,8;0,5;0,3;0,52;17
F;0,63;0,49;0,18;10,62;0,56;0,25;0,37;11
I;0,55;0,43;0,15;1,01;0,38;0,17;0,25;14
F;0,65;0,53;0,19;10,84;0,66;0,34;0,44;19
I;0,46;0,36;0,14;1,36;0,22;0,13;0,12;13
F;0,41;0,31;0,1;11,19;0,17;0,07;0,11;11
I;0,5;0,39;0,13;1,21;0,28;0,16;0,2;11
I;0,52;0,43;0,17;13,41;0,28;0,17;0,2;10
F;0,55;0,41;0,15;1,03;0,31;0,19;0,25;13
M;0,45;0,34;0,14;13,01;0,16;0,08;0,15;14
F;0,41;0,31;0,12;1,04;0,14;0,06;0,1;13
I;0,51;0,4;0,15;12,53;0,29;0,17;0,24;13
F;0,37;0,29;0,12;11,14;0,11;0,06;0,08;9
I;0,53;0,41;0,18;11,16;0,36;0,21;0,21;18
F;0,66;0,52;0,18;10,87;0,53;0,3;0,42;19
M;0,54;0,42;0,15;1,25;0,26;0,15;0,24;12
I;0,58;0,46;0,18;1,17;0,3;0,18;0,3;13
F;0,55;0,43;0,14;1,17;0,26;0,19;0,23;9
I;0,61;0,47;0,14;11,85;0,34;0,2;0,32;13
I;0,61;0,5;0,15;10,73;0,37;0,23;0,36;12
F;0,56;0,45;0,2;13,82;0,31;0,22;0,34;16
I;0,54;0,42;0,15;16,13;0,4;0,2;0,25;17
F;0,39;0,32;0,11;17,4;0,12;0,06;0,08;10
F;0,39;0,3;0,1;15,48;0,11;0,06;0,09;13
I;0,47;0,35;0,12;14,25;0,2;0,11;0,17;11
I;0,52;0,39;0,14;13,41;0,2;0,11;0,22;12
I;0,43;0,35;0,13;14,47;0,16;0,08;0,15;13
M;0,35;0,27;0,09;15,85;0,08;0,05;0,06;9
I;0,49;0,37;0,13;1,68;0,18;0,11;0,14;10
M;0,37;0,29;0,1;1,73;0,07;0,07;0,08;10
M;0,35;0,27;0,09;15,4;0,06;0,04;0,07;12
F;0,44;0,35;0,17;2,07;0,15;0,08;0,15;12
M;0,2;0,15;0,05;15,87;0,01;0,01;0,01;4
M;0,33;0,24;0,08;2,07;0,05;0,04;0,06;9
I;0,5;0,37;0,13;10,02;0,19;0,07;0,17;18
I;0,45;0,35;0,15;10,01;0,21;0,1;0,17;15
M;0,42;0,35;0,14;1,01;0,13;0,07;0,15;13
F;0,47;0,36;0,14;1,1;0,15;0,1;0,15;12
M;0,32;0,24;0,09;10,47;0,07;0,05;0,05;7
M;0,31;0,23;0,08;11,81;0,05;0,03;0,04;9
M;0,24;0,17;0,06;1,13;0,02;0,01;0,02;7
M;0,35;0,26;0,08;1,07;0,06;0,04;0,05;10
I;0,49;0,38;0,14;11,16;0,22;0,13;0,2;18
F;0,5;0,39;0,12;1,03;0,29;0,14;0,2;12
F;0,5;0,39;0,11;11,19;0,18;0,11;0,17;17
I;0,47;0,36;0,11;11,79;0,21;0,12;0,14;15
F;0,53;0,41;0,16;10,29;0,27;0,11;0,23;12
F;0,43;0,34;0,1;10,88;0,12;0,06;0,13;10
F;0,38;0,31;0,1;1,26;0,13;0,05;0,09;8
I;0,53;0,42;0,15;1,22;0,38;0,19;0,27;21
M;0,34;0,27;0,09;1,04;0,08;0,05;0,07;10
I;0,48;0,37;0,12;1,2;0,22;0,12;0,13;9
F;0,43;0,34;0,12;1,06;0,16;0,1;0,14;7
M;0,46;0,37;0,13;15,15;0,19;0,09;0,16;10
I;0,47;0,36;0,13;1,31;0,2;0,11;0,17;9
M;0,36;0,3;0,1;10,3;0,07;0,05;0,08;9
M;0,36;0,27;0,09;10,49;0,05;0,04;0,06;8
M;0,38;0,24;0,1;1,33;0,11;0,05;0,08;7
M;0,36;0,26;0,09;11,57;0,08;0,05;0,06;6
I;0,44;0,35;0,12;1,35;0,2;0,11;0,16;14
F;0,51;0,4;0,13;12,53;0,22;0,14;0,2;13
M;0,33;0,24;0,09;12,7;0,08;0,04;0,05;7
I;0,62;0,49;0,18;13,41;0,47;0,27;0,39;13
F;0,59;0,45;0,16;12,9;0,36;0,16;0,32;19
M;0,33;0,26;0,1;1,2;0,07;0,05;0,06;7
M;0,45;0,34;0,13;1,27;0,16;0,08;0,11;9
I;0,45;0,33;0,12;1,23;0,12;0,08;0,11;11
M;0,33;0,22;0,08;11,9;0,05;0,03;0,04;6
M;0,48;0,38;0,15;11,15;0,22;0,13;0,17;9
I;0,46;0,35;0,12;13,12;0,19;0,11;0,16;11
F;0,48;0,36;0,13;11,29;0,17;0,08;0,14;9
M;0,26;0,18;0,07;14,2;0,03;0,01;0,03;5
I;0,34;0,25;0,09;16,2;0,06;0,04;0,06;6
I;0,47;0,35;0,13;15,54;0,18;0,1;0,15;11
M;0,31;0,23;0,08;1,24;0,05;0,02;0,05;7
F;0,37;0,28;0,11;1,19;0,09;0,05;0,08;10
M;0,3;0,22;0,08;1,38;0,05;0,03;0,04;7
F;0,56;0,44;0,17;1,41;0,34;0,23;0,3;17
F;0,62;0,52;0,17;1,35;0,43;0,22;0,42;16
I;0,58;0,49;0,2;11,45;0,53;0,25;0,41;18
F;0,59;0,48;0,19;14,42;0,41;0,16;0,33;11
I;0,65;0,53;0,18;1,22;0,6;0,34;0,53;18
I;0,54;0,45;0,17;12,48;0,31;0,16;0,3;11
F;0,42;0,34;0,13;12,7;0,15;0,09;0,12;10
F;0,38;0,31;0,11;1,43;0,1;0,06;0,09;12
I;0,45;0,36;0,12;14,02;0,11;0,07;0,16;19
F;0,4;0,3;0,1;1,31;0,08;0,05;0,08;10
M;0,46;0,35;0,12;1,47;0,18;0,14;0,16;11
F;0,49;0,38;0,15;1,62;0,22;0,14;0,18;15
M;0,55;0,43;0,16;1,53;0,28;0,24;0,34;13
F;0,45;0,35;0,15;13,85;0,18;0,12;0,18;13
M;0,48;0,39;0,15;16,92;0,24;0,11;0,22;14
F;0,5;0,38;0,16;15,72;0,24;0,14;0,21;17
F;0,53;0,41;0,17;1,77;0,24;0,17;0,24;19
M;0,49;0,39;0,15;14,41;0,23;0,12;0,17;21
F;0,49;0,39;0,15;16,25;0,24;0,14;0,24;23
F;0,52;0,4;0,18;1,87;0,16;0,11;0,25;22
M;0,54;0,42;0,15;16,71;0,26;0,17;0,25;12
F;0,5;0,38;0,12;2,08;0,19;0,15;0,19;11
F;0,45;0,38;0,17;16,2;0,25;0,19;0,27;23
F;0,37;0,28;0,1;18,33;0,09;0,03;0,08;8
I;0,37;0,28;0,1;2,17;0,09;0,05;0,07;7
M;0,49;0,37;0,14;1,06;0,2;0,14;0,18;10
F;0,44;0,33;0,12;1,12;0,15;0,09;0,12;7
M;0,54;0,41;0,19;1,11;0,32;0,17;0,29;16
M;0,51;0,4;0,14;13,49;0,25;0,17;0,19;10
M;0,57;0,44;0,19;15,66;0,34;0,23;0,26;15
F;0,54;0,4;0,15;1,08;0,33;0,21;0,21;13
F;0,54;0,41;0,13;11,35;0,26;0,14;0,35;16
M;0,53;0,4;0,17;12,44;0,28;0,21;0,2;11
M;0,59;0,44;0,15;1,06;0,37;0,24;0,3;11
M;0,5;0,38;0,15;12,1;0,25;0,15;0,19;10
I;0,26;0,19;0,08;1,24;0,03;0,02;0,03;5
F;0,43;0,33;0,12;1,64;0,15;0,11;0,11;11
M;0,38;0,29;0,12;17,73;0,12;0,07;0,09;9
I;0,17;0,11;0,02;12,53;0,01;0;0,01;4
I;0,32;0,23;0,09;1,76;0,04;0,04;0,04;7
I;0,16;0,11;0,05;13,17;0,01;0;0,01;4
M;0,28;0,21;0,1;1,91;0,05;0,03;0,03;5
F;0,43;0,34;0,12;16,9;0,16;0,11;0,14;13
F;0,4;0,32;0,11;2,03;0,12;0,09;0,12;16
M;0,39;0,29;0,11;1,04;0,12;0,07;0,09;12
F;0,48;0,39;0,14;16,89;0,19;0,14;0,17;14
F;0,45;0,33;0,11;21,84;0,18;0,1;0,12;9
M;0,4;0,3;0,12;12,11;0,12;0,06;0,11;12
M;0,4;0,3;0,13;11,51;0,19;0,09;0,12;9
M;0,42;0,33;0,14;1,5;0,15;0,1;0,14;10
M;0,32;0,25;0,09;1,97;0,06;0,04;0,08;11
F;0,35;0,26;0,09;12,28;0,08;0,04;0,08;10
M;0,36;0,3;0,13;12,72;0,09;0,06;0,1;10
I;0,3;0,23;0,09;1,81;0,04;0,02;0,03;7
I;0,33;0,25;0,08;13,91;0,06;0,04;0,06;7
M;0,38;0,3;0,1;18,47;0,1;0,05;0,08;11
I;0,28;0,21;0,06;22;0,05;0,03;0,03;7
M;0,36;0,27;0,09;1,82;0,07;0,05;0,07;8
M;0,35;0,26;0,08;1,14;0,08;0,04;0,06;9
I;0,28;0,2;0,07;11,85;0,05;0,02;0,03;7
I;0,29;0,21;0,07;1,1;0,04;0,02;0,04;8
I;0,25;0,19;0,06;1,07;0,04;0,01;0,02;6
I;0,18;0,13;0,04;1,28;0,01;0,01;0,01;4
I;0,15;0,1;0,03;10,6;0;0;0,01;2
I;0,16;0,11;0,03;14,94;0,01;0,01;0,01;3
M;0,56;0,46;0,16;10,41;0,39;0,23;0,29;13
M;0,56;0,44;0,15;1,6;0,42;0,21;0,44;15
M;0,53;0,41;0,13;14,01;0,39;0,24;0,3;15
M;0,47;0,36;0,08;1,41;0,19;0,13;0,16;11
F;0,49;0,36;0,11;15,77;0,16;0,11;0,2;17
M;0,4;0,31;0,09;12,13;0,11;0,07;0,1;10
F;0,48;0,38;0,11;16,31;0,22;0,12;0,16;12
M;0,51;0,4;0,13;1,14;0,27;0,16;0,26;13
F;0,52;0,4;0,12;1,37;0,26;0,2;0,17;15
M;0,53;0,4;0,13;1,54;0,24;0,18;0,28;11
M;0,55;0,42;0,13;1,04;0,37;0,17;0,23;13
M;0,52;0,4;0,12;1,35;0,3;0,18;0,27;15
M;0,51;0,38;0,13;10,97;0,23;0,18;0,22;13
M;0,53;0,43;0,12;1,23;0,28;0,18;0,29;18
M;0,51;0,39;0,13;1,11;0,26;0,18;0,18;10
M;0,52;0,39;0,12;1,17;0,24;0,17;0,21;12
F;0,52;0,41;0,13;15,46;0,24;0,17;0,21;12
M;0,54;0,41;0,14;12,68;0,29;0,15;0,32;14
M;0,45;0,35;0,09;14,29;0,14;0,07;0,13;10
M;0,53;0,44;0,21;1,79;0,32;0,22;0,25;14
F;0,36;0,27;0,09;11,01;0,08;0,06;0,06;8
F;0,54;0,42;0,15;1,46;0,28;0,19;0,22;14
F;0,52;0,41;0,14;2,23;0,28;0,18;0,26;17
M;0,53;0,42;0,13;12,13;0,28;0,19;0,27;20
F;0,53;0,42;0,13;10,68;0,34;0,23;0,27;17
F;0,66;0,52;0,2;1,16;0,67;0,48;0,45;17
M;0,52;0,39;0,14;1,6;0,25;0,2;0,16;9
M;0,54;0,42;0,13;1,41;0,3;0,18;0,28;14
M;0,7;0,52;0,18;2,03;0,58;0,41;0,39;15
F;0,51;0,39;0,11;1,26;0,19;0,15;0,2;13
M;0,49;0,36;0,12;10,94;0,22;0,16;0,14;10
F;0,61;0,46;0,17;11,81;0,35;0,3;0,32;13
F;0,58;0,46;0,17;1,01;0,37;0,3;0,28;13
M;0,65;0,52;0,18;11,45;0,53;0,27;0,53;20
M;0,62;0,51;0,19;1,5;0,69;0,37;0,35;13
M;0,62;0,53;0,16;15,52;0,37;0,24;0,37;20
F;0,61;0,5;0,19;2,53;0,47;0,27;0,41;15
M;0,57;0,44;0,16;1,1;0,48;0,23;0,27;13
M;0,57;0,43;0,12;1,41;0,35;0,17;0,31;15
M;0,59;0,41;0,15;1,25;0,44;0,2;0,33;15
F;0,55;0,44;0,16;17,27;0,31;0,18;0,34;16
F;0,54;0,44;0,14;13,19;0,24;0,22;0,3;17
M;0,64;0,51;0,19;17,27;0,62;0,36;0,47;14
F;0,61;0,47;0,15;1,08;0,4;0,3;0,32;14
M;0,55;0,45;0,15;11,42;0,34;0,19;0,3;11
F;0,59;0,45;0,13;1,03;0,38;0,23;0,32;13
M;0,35;0,27;0,1;13,45;0,07;0,05;0,07;9
F;0,55;0,43;0,16;1,45;0,29;0,23;0,23;11
F;0,53;0,43;0,17;13,67;0,35;0,24;0,28;17
F;0,53;0,46;0,17;10,3;0,32;0,28;0,3;11
I;0,49;0,38;0,14;1,03;0,2;0,12;0,17;8
M;0,39;0,28;0,12;1,07;0,1;0,08;0,09;8
M;0,46;0,34;0,14;1,89;0,17;0,16;0,12;9
M;0,49;0,38;0,14;12,43;0,25;0,17;0,19;10
M;0,53;0,41;0,17;1,97;0,19;0,17;0,31;11
M;0,51;0,39;0,15;12,4;0,24;0,18;0,2;15
M;0,49;0,38;0,14;10,39;0,23;0,14;0,2;13
M;0,47;0,35;0,14;13,32;0,2;0,15;0,19;15
F;0,47;0,36;0,15;1,02;0,17;0,14;0,2;15
M;0,56;0,41;0,17;1,41;0,35;0,24;0,3;13
M;0,51;0,39;0,15;1,21;0,25;0,15;0,22;12
M;0,52;0,44;0,15;10,71;0,29;0,21;0,26;10
I;0,39;0,28;0,13;1,31;0,1;0,04;0,09;6
I;0,22;0,16;0,06;1,09;0,02;0,02;0,02;5
M;0,55;0,42;0,18;1,52;0,33;0,23;0,29;15
F;0,52;0,39;0,13;1,32;0,2;0,13;0,18;9
M;0,5;0,39;0,14;1,1;0,21;0,14;0,26;12
F;0,51;0,39;0,16;11,83;0,25;0,2;0,16;9
F;0,6;0,47;0,17;1,12;0,31;0,25;0,26;12
F;0,57;0,47;0,16;16,12;0,31;0,26;0,26;10
F;0,49;0,38;0,14;12,99;0,19;0,13;0,17;10
M;0,47;0,37;0,18;1,16;0,19;0,13;0,16;9
M;0,58;0,45;0,17;1,49;0,33;0,23;0,26;12
M;0,58;0,47;0,16;1,01;0,32;0,26;0,36;12
M;0,52;0,41;0,15;1,24;0,22;0,16;0,23;15
M;0,53;0,41;0,16;1,15;0,28;0,17;0,21;11
M;0,44;0,34;0,11;1,26;0,16;0,1;0,12;9
M;0,52;0,42;0,16;1,19;0,26;0,16;0,29;11
F;0,43;0,35;0,11;14,41;0,13;0,08;0,12;11
M;0,46;0,34;0,14;1,33;0,17;0,12;0,19;10
M;0,45;0,34;0,13;11,41;0,12;0,11;0,12;10
M;0,43;0,33;0,13;1,2;0,15;0,09;0,16;9
I;0,37;0,28;0,1;1,36;0,09;0,05;0,07;7
M;0,52;0,38;0,14;1,65;0,29;0,21;0,16;10
M;0,41;0,31;0,12;15;0,12;0,09;0,1;7
I;0,28;0,21;0,07;16,23;0,04;0,03;0,03;6
F;0,48;0,4;0,13;1,79;0,21;0,18;0,24;15
F;0,44;0,34;0,13;1,79;0,15;0,12;0,13;10
F;0,52;0,41;0,12;1,93;0,29;0,18;0,24;12
M;0,51;0,41;0,14;1,69;0,27;0,17;0,29;12
F;0,49;0,37;0,13;1,66;0,17;0,13;0,21;21
I;0,24;0,18;0,06;20,48;0,03;0,01;0,02;6
I;0,26;0,19;0,06;16,02;0,04;0,02;0,02;5
I;0,32;0,24;0,09;20,17;0,07;0,03;0,05;7
I;0,33;0,25;0,08;1,05;0,08;0,03;0,05;7
I;0,34;0,25;0,08;11,78;0,07;0,04;0,06;6
I;0,35;0,27;0,09;10,77;0,08;0,06;0,06;6
I;0,35;0,25;0,07;10,26;0,07;0,05;0,05;6
I;0,36;0,3;0,09;1,24;0,12;0,06;0,07;7
I;0,37;0,28;0,14;1,25;0,11;0,04;0,07;7
I;0,37;0,28;0,14;11,5;0,1;0,05;0,06;6
I;0,38;0,28;0,1;11,58;0,09;0,06;0,06;7
I;0,39;0,29;0,1;1,33;0,14;0,06;0,09;6
I;0,39;0,3;0,1;12,71;0,12;0,06;0,09;7
I;0,4;0,29;0,1;12,16;0,14;0,08;0,08;7
I;0,4;0,29;0,1;13,25;0,13;0,08;0,08;6
I;0,4;0,31;0,1;13,56;0,13;0,06;0,09;6
I;0,41;0,33;0,1;1,13;0,21;0,07;0,11;6
I;0,42;0,32;0,11;11,08;0,18;0,08;0,11;7
M;0,42;0,31;0,1;14,26;0,16;0,05;0,09;6
I;0,43;0,33;0,1;1,15;0,12;0,06;0,09;6
I;0,44;0,37;0,12;1,29;0,24;0,08;0,15;9
I;0,45;0,34;0,1;1,6;0,27;0,09;0,11;7
I;0,45;0,33;0,1;1,3;0,18;0,1;0,09;7
I;0,45;0,35;0,13;1,25;0,25;0,14;0,14;8
M;0,47;0,38;0,12;15,11;0,27;0,09;0,17;8
I;0,48;0,37;0,13;14,42;0,23;0,12;0,17;9
F;0,48;0,37;0,14;16,39;0,29;0,11;0,18;8
I;0,49;0,36;0,11;1,93;0,22;0,1;0,15;9
M;0,49;0,39;0,13;18,5;0,31;0,1;0,18;8
F;0,5;0,41;0,13;1,74;0,34;0,13;0,21;9
M;0,5;0,4;0,13;17,98;0,27;0,13;0,17;9
M;0,51;0,44;0,14;2,38;0,34;0,19;0,24;8
M;0,53;0,4;0,13;2,4;0,34;0,14;0,23;8
M;0,54;0,41;0,13;21,95;0,48;0,19;0,2;9
F;0,54;0,42;0,14;1;0,37;0,17;0,21;11
F;0,55;0,44;0,14;10,12;0,43;0,2;0,24;10
F;0,55;0,43;0,13;11,01;0,4;0,18;0,28;8
M;0,55;0,45;0,15;1,11;0,41;0,2;0,29;10
F;0,55;0,45;0,15;19,88;0,36;0,18;0,28;10
M;0,56;0,44;0,15;1,08;0,5;0,17;0,24;9
M;0,57;0,45;0,16;1,06;0,47;0,24;0,27;10
M;0,57;0,46;0,15;1,2;0,39;0,22;0,27;9
M;0,57;0,44;0,13;1,08;0,35;0,18;0,19;10
F;0,58;0,47;0,14;1,1;0,44;0,18;0,27;9
M;0,59;0,48;0,17;11,02;0,45;0,24;0,31;9
M;0,59;0,46;0,13;13,84;0,46;0,21;0,33;12
F;0,6;0,48;0,15;1,12;0,5;0,23;0,33;10
F;0,6;0,48;0,16;1,09;0,52;0,3;0,32;8
F;0,6;0,48;0,16;13,17;0,55;0,23;0,27;6
F;0,6;0,47;0,14;13,42;0,52;0,24;0,31;12
M;0,6;0,48;0,18;1,03;0,55;0,29;0,36;11
F;0,6;0,48;0,16;11,85;0,65;0,17;0,32;10
M;0,6;0,5;0,18;1,19;0,61;0,28;0,34;11
F;0,61;0,48;0,18;1,29;0,61;0,23;0,4;10
M;0,61;0,46;0,16;11,81;0,42;0,3;0,33;9
F;0,62;0,5;0,18;12,66;0,56;0,33;0,29;12
F;0,62;0,52;0,15;12,9;0,63;0,26;0,35;10
M;0,62;0,51;0,15;1,41;0,55;0,33;0,32;9
M;0,62;0,51;0,17;1,12;0,53;0,28;0,41;12
